Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Predicted Rings,Residual Rings,Studentized Resid Rings
M,1,1,0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,9.1159173083,5.8840826917,2.8485105802
M,1,1,0,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,7.8240970698,-0.82409707,-0.398399032
F,1,0,1,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,11.460883603,-2.460883603,-1.188942729
M,1,1,0,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,9.7325324919,0.2674675081,0.1293374833
I,0,0,0,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7,6.5410808081,0.4589191919,0.2216465149
I,0,0,0,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8,7.9118534935,0.0881465065,0.0426294544
F,1,0,1,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20,15.172462043,4.8275379575,2.3395990763
F,1,0,1,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,11.835349172,4.1646508283,2.0132372532
M,1,1,0,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,9.8519564605,-0.85195646,-0.41136697
F,1,0,1,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,14.040301998,4.9596980021,2.3993746122
F,1,0,1,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14,12.189706971,1.8102930294,0.8775524603
M,1,1,0,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,9.5362609902,0.4637390098,0.2242091285
M,1,1,0,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,11.11004415,-0.11004415,-0.053182368
F,1,0,1,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,10.657441206,-0.657441206,-0.317630542
F,1,0,1,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,11.365734375,-1.365734375,-0.662116785
