Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Log[Rings],Predicted Log[Rings],Residual Log[Rings],Studentized Resid Log[Rings]
M,1,1,0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,2.7080502011,2.1908776603,0.5171725408,2.8023259288
M,1,1,0,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,1.9459101491,2.0314721918,-0.085562043,-0.46298313
F,1,0,1,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,2.1972245773,2.4058057384,-0.208581161,-1.127947955
M,1,1,0,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,2.302585093,2.2572006429,0.0453844501,0.2456431002
I,0,0,0,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7,1.9459101491,1.8477091162,0.0982010329,0.5308659374
I,0,0,0,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8,2.0794415417,2.0369656618,0.0424758798,0.2299276342
F,1,0,1,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20,2.9957322736,2.714053094,0.2816791795,1.5279692307
F,1,0,1,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,2.7725887222,2.4398054135,0.3327833088,1.8006197775
M,1,1,0,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,2.1972245773,2.2680146758,-0.070790098,-0.382585628
F,1,0,1,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,2.9444389792,2.6164759116,0.3279630675,1.7758729162
F,1,0,1,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14,2.6390573296,2.4680547566,0.1710025731,0.9278354718
M,1,1,0,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,2.302585093,2.2354593762,0.0671257168,0.3632559315
M,1,1,0,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,2.3978952728,2.3697272879,0.0281679849,0.1523704003
F,1,0,1,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,2.302585093,2.342139791,-0.039554698,-0.213898395
