Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Square Root[Rings],Predicted Square Root[Rings],Residual Square Root[Rings],Studentized Resid Square Root[Rings]
M,1,1,0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,3.8729833462,3.0042320817,0.8687512645,2.8835392536
M,1,1,0,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,2.6457513111,2.7795367903,-0.133785479,-0.44344548
F,1,0,1,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,3,3.3573330033,-0.357333003,-1.183680085
M,1,1,0,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,3.1622776602,3.1039750193,0.0583026409,0.1933004878
I,0,0,0,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7,2.6457513111,2.5378121744,0.1079391367,0.357433271
I,0,0,0,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8,2.8284271247,2.7884853375,0.0399417872,0.1324413235
F,1,0,1,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20,4.472135955,3.8863522496,0.5857837054,1.9464550527
F,1,0,1,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,4,3.4127731284,0.5872268716,1.9463172518
M,1,1,0,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,3,3.1218784573,-0.121878457,-0.403487713
F,1,0,1,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,4.3588989435,3.7221476139,0.6367513296,2.1120492226
F,1,0,1,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14,3.7416573868,3.4621642681,0.2794931187,0.9289378899
M,1,1,0,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,3.1622776602,3.0714243219,0.0908533383,0.3011701314
M,1,1,0,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11,3.3166247904,3.3001034674,0.016521323,0.0547440446
F,1,0,1,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,10,3.1622776602,3.2445393007,-0.08226164,-0.272492184
F,1,0,1,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,10,3.1622776602,3.3304736744,-0.168196014,-0.559081866
M,1,1,0,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,12,3.4641016151,3.3832882482,0.0808133669,0.2677019979
I,0,0,0,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,7,2.6457513111,2.8823196247,-0.236568314,-0.786292753
F,1,0,1,0.44,0.34,0.1,0.451,0.188,0.087,0.13,10,3.1622776602,3.0552451964,0.1070324637,0.3550112623
M,1,1,0,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,7,2.6457513111,2.9505366567,-0.304785346,-1.013804817
M,1,1,0,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,9,3,2.9463516933,0.0536483067,0.1782173349
