Sex,HasSex,SexM,SexF,Length,Diam,Height,Whole,Shucked,Viscera,Shell,Rings,Log[Rings],Pred Formula Log[Rings],Predicted Log[Rings],Residual Log[Rings],Studentized Resid Log[Rings],Lower 95% Mean Log[Rings],Upper 95% Mean Log[Rings]
M,1,1,0,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15,2.7080502011,2.2300561471,2.2300561471,0.477994054,2.552460662,2.2169102432,2.2432020511
M,1,1,0,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7,1.9459101491,2.0472402724,2.0472402724,-0.101330123,-0.541523644,2.0276156593,2.0668648855
F,1,0,1,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,9,2.1972245773,2.3880365338,2.3880365338,-0.190811956,-1.018910574,2.3750349429,2.4010381248
M,1,1,0,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,10,2.302585093,2.2660281621,2.2660281621,0.0365569309,0.1952721181,2.2500301336,2.2820261906
I,0,0,0,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,7,1.9459101491,1.8470755111,1.8470755111,0.098834638,0.5279056646,1.8315370931,1.8626139291
I,0,0,0,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,8,2.0794415417,2.0638385522,2.0638385522,0.0156029895,0.0833722104,2.0452747504,2.082402354
F,1,0,1,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20,2.9957322736,2.7149273339,2.7149273339,0.2808049397,1.5014162466,2.6921266878,2.73772798
F,1,0,1,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,16,2.7725887222,2.4447345824,2.4447345824,0.3278541398,1.7504044156,2.4336049572,2.4558642076
M,1,1,0,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9,2.1972245773,2.2682557681,2.2682557681,-0.071031191,-0.379265363,2.2561543254,2.2803572107
F,1,0,1,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,19,2.9444389792,2.5962792276,2.5962792276,0.3481597516,1.8594023743,2.5818233808,2.6107350744
F,1,0,1,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14,2.6390573296,2.4833093225,2.4833093225,0.1557480071,0.8324347225,2.4629282049,2.5036904402
M,1,1,0,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,10,2.302585093,2.2448976703,2.2448976703,0.0576874227,0.3081361863,2.229073983,2.2607213576
